output_sentence|input_sentence|labels
Verlaagde ademfrequentie bij sat 71%|Verlaagde AF bij sat 71%|ademfrequentie
ademfrequentie 70 /min|AF 70 /min|ademfrequentie
meneer heeft emfyseem en daarbij lafe ademfrequentie|meneer heeft emfyseem en daarbij lafe AF|ademfrequentie
Pat rookt en heeft hoge ademfrequentie: fietstest?|Pat rookt en heeft hoge AF: fietstest?|ademfrequentie
SR 70 bpm bij verhoogde ademfrequentie|SR 70 bpm bij verhoogde AF|ademfrequentie
slikt medicatie ivm ademfrequentie, eerder wel een flauwgevallen|slikt medicatie ivm AF, eerder wel een flauwgevallen|ademfrequentie
ademfrequentie vaak onstabiel, pat geeft aan vaak buiten adem te zijn|AF vaak onstabiel, pat geeft aan vaak buiten adem te zijn|ademfrequentie
ademfrequentie daalt in rust, maar blijft aan hoge kant|AF daalt in rust, maar blijft aan hoge kant|ademfrequentie
Pols 70/min, ademhalingsfrequentie 25/min|Pols 70/min, ademhalingsfrequentie 25/min|
bloeddruk 100/50 mmHg, temp 39.2, ademfrequentie 36|bloeddruk 100/50 mmHg, temp 39.2, AF 36|ademfrequentie
RR 140/95 mmHg, temp 39.2 celcius, SaO2 98%, , ademfrequentie: 36|RR 140/95 mmHg, temp 39.2 celcius, SaO2 98%, , AF: 36|ademfrequentie
Rustige ademfrequentie, goede saturaties|Rustige AF, goede saturaties|ademfrequentie
SaO2 97% zonder zuurstof bij ademfrequentie van 15/min|SaO2 97% zonder zuurstof bij AF van 15/min|ademfrequentie
Cachectische vrouw met ademfrequentie ca 25/min|Cachectische vrouw met AF ca 25/min|ademfrequentie
in 2001 hartinfarct + atriumfibrilleren|in 2001 hartinfarct + AF|atriumfibrilleren
Opname ivm atriumfibrilleren na CABG|Opname ivm AF na CABG|atriumfibrilleren
noradrenaline ivm atriumfibrilleren en hypotensie|noradrenaline ivm AF en hypotensie|atriumfibrilleren
reden van komst: atriumfibrilleren de novo|reden van komst: AF de novo|atriumfibrilleren
VG: atriumfibrilleren, hypertensie, diabetes|VG: AF, hypertensie, diabetes|atriumfibrilleren
DD\ atriumfibrilleren|DD\ AF|atriumfibrilleren
pacemaker sinds 2017 vwg atriumfibrilleren|pacemaker sinds 2017 vwg AF|atriumfibrilleren
mei 2019 atriumfibrilleren wv pacemaker|mei 2019 AF wv pacemaker|atriumfibrilleren
geen extra medicatie gegeven ivm atriumfibrilleren|geen extra medicatie gegeven ivm AF|atriumfibrilleren
82 jarige patient met in de voorgeschiedenis atriumfibrilleren en scoliose|82 jarige patient met in de voorgeschiedenis AF en scoliose|atriumfibrilleren
Conclusie: paroxysmaal atriumfibrilleren, zeer sporadisch optredend.|Conclusie: paroxysmaal AF, zeer sporadisch optredend.|atriumfibrilleren
2017: atriumfibrilleren|2017: AF|atriumfibrilleren
bekend met hypertensie/atriumfibrilleren|bekend met hypertensie/AF|atriumfibrilleren
VG; atriumfibrilleren (behandeling in ander ziekenhuis)|VG; AF (behandeling in ander ziekenhuis)|atriumfibrilleren
ECG: atriumfibrilleren en oud voorwandinfarct.|ECG: AF en oud voorwandinfarct.|atriumfibrilleren
atriumfibrilleren maar geen ventrikeltachycardie.|AF maar geen ventrikeltachycardie.|atriumfibrilleren
Wellicht dat een paroxysme van atriumfibrilleren danwel een tachycardie de klachten heeft veroorzaakt|Wellicht dat een paroxysme van AF danwel een tachycardie de klachten heeft veroorzaakt|atriumfibrilleren
paroxysmale atriumfibrilleren (1992)|paroxysmale AF (1992)|atriumfibrilleren
Voorgeschiedenis: bekend met atriumfibrilleren en jicht|Voorgeschiedenis: bekend met AF en jicht|atriumfibrilleren
bekend met nierinsufficientie en atriumfibrilleren|bekend met nierinsufficientie en AF|atriumfibrilleren
Patient heeft angina pectoris en coronaire insufficientie in de voorgeschiedenis|Patient heeft AP en coronaire insufficientie in de voorgeschiedenis|angina pectoris
